Column1,State/UT,Parliamentary Constituency,Party Name,Winning Candidate,Total Votes,Margin
205,Kerla,Vadakara(3),Indian National Congress (INC),SHAFI PARAMBIL,557528,114506
206,Kerla,Wayanad(4),Indian National Congress (INC),RAHUL GANDHI,647445,364422
207,Lakshadweep,Lakshadweep(1),Indian National Congress (INC),MUHAMMED HAMDULLAH SAYEED,25726,2647
208,Madhya Pradesh,BALAGHAT(15),Bharatiya Janata Party(BJP),BHARTI PARDHI,712660,174512
209,Madhya Pradesh,BETUL(29),Bharatiya Janata Party(BJP),DURGADAS (D. D.) UIKEY,848236,379761
210,Madhya Pradesh,BHIND(2),Bharatiya Janata Party(BJP),SANDHYA RAY,537065,64840
211,Madhya Pradesh,BHOPAL(19),Bharatiya Janata Party(BJP),ALOK SHARMA,981109,501499
212,Madhya Pradesh,CHHINDWARA(16),Bharatiya Janata Party(BJP),BUNTY VIVEK SAHU,644738,113618
213,Madhya Pradesh,DAMOH(7),Bharatiya Janata Party(BJP),RAHUL SINGH LODHI,709768,406426
214,Madhya Pradesh,DEWAS(21),Bharatiya Janata Party(BJP),MAHENDRA SINGH SOLANKY,928941,425225
215,Madhya Pradesh,DHAR(25),Bharatiya Janata Party(BJP),SAVITRI THAKUR,794449,218665
216,Madhya Pradesh,GUNA(4),Bharatiya Janata Party(BJP),JYOTIRADITYA M. SCINDIA,923302,540929
217,Madhya Pradesh,GWALIOR(3),Bharatiya Janata Party(BJP),BHARAT SINGH KUSHWAH,671535,70210
218,Madhya Pradesh,HOSHANGABAD(17),Bharatiya Janata Party(BJP),DARSHAN SINGH CHOUDHARY,812147,431696
219,Madhya Pradesh,INDORE(26),Bharatiya Janata Party(BJP),SHANKAR LALWANI,1226751,1175092
220,Madhya Pradesh,JABALPUR(13),Bharatiya Janata Party(BJP),ASHISH DUBEY,790133,486674
221,Madhya Pradesh,KHAJURAHO(8),Bharatiya Janata Party(BJP),VISHNU DATT SHARMA (V.D.SHARMA),772774,541229
222,Madhya Pradesh,KHANDWA(28),Bharatiya Janata Party(BJP),GYANESHWAR PATIL,862679,269971
223,Madhya Pradesh,KHARGONE(27),Bharatiya Janata Party(BJP),GAJENDRA SINGH PATEL,819863,135018
224,Madhya Pradesh,MANDLA(14),Bharatiya Janata Party(BJP),FAGGAN SINGH KULASTE,751375,103846
225,Madhya Pradesh,MANDSOUR(23),Bharatiya Janata Party(BJP),SUDHEER GUPTA,945761,500655
226,Madhya Pradesh,MORENA(1),Bharatiya Janata Party(BJP),SHIVMANGAL SINGH TOMAR,515477,52530
227,Madhya Pradesh,RAJGARH(20),Bharatiya Janata Party(BJP),RODMAL NAGAR,758743,146089
228,Madhya Pradesh,RATLAM(24),Bharatiya Janata Party(BJP),ANITA NAGARSINGH CHOUHAN,795863,207232
229,Madhya Pradesh,REWA(10),Bharatiya Janata Party(BJP),JANARDAN MISHRA,477459,193374
230,Madhya Pradesh,SAGAR(5),Bharatiya Janata Party(BJP),DR. LATA WANKHEDE,787979,471222
231,Madhya Pradesh,SATNA(9),Bharatiya Janata Party(BJP),GANESH SINGH,459728,84949
232,Madhya Pradesh,SHAHDOL(12),Bharatiya Janata Party(BJP),SMT. HIMADRI SINGH,711143,397340
233,Madhya Pradesh,SIDHI(11),Bharatiya Janata Party(BJP),DR. RAJESH MISHRA,583559,206416
234,Madhya Pradesh,TIKAMGARH(6),Bharatiya Janata Party(BJP),DR. VIRENDRA KUMAR,715050,403312
235,Madhya Pradesh,UJJAIN(22),Bharatiya Janata Party(BJP),ANIL FIROJIYA,836104,375860
236,Madhya Pradesh,VIDISHA(18),Bharatiya Janata Party(BJP),SHIVRAJ SINGH CHOUHAN,1116460,821408
237,Maharathra,Ahmednagar(37),Nationalist Congress Party – Sharadchandra Pawar - NCPSP,NILESH DNYANDEV LANKE,624797,28929
238,Maharathra,Akola(6),Bharatiya Janata Party(BJP),ANUP SANJAY DHOTRE,457030,40626
239,Maharathra,Amravati (7),Indian National Congress (INC),BALWANT BASWANT WANKHADE,526271,19731
240,Maharathra,Aurangabad(19),Shiv Sena - SHS,BHUMARE SANDIPANRAO ASARAM,476130,134650
241,Maharathra,Baramati(35),Nationalist Congress Party – Sharadchandra Pawar - NCPSP,SUPRIYA SULE,732312,158333
242,Maharathra,Beed(39),Nationalist Congress Party – Sharadchandra Pawar - NCPSP,BAJRANG MANOHAR SONWANE,683950,6553
243,Maharathra,Bhandara Gondiya(11),Indian National Congress (INC),DR. PRASHANT YADAORAO PADOLE,587413,37380
244,Maharathra,Bhiwandi(23),Nationalist Congress Party – Sharadchandra Pawar - NCPSP,BALYA MAMA - SURESH GOPINATH MHATRE,499464,66121
245,Maharathra,Buldhana(5),Shiv Sena - SHS,JADHAV PRATAPRAO GANPATRAO,349867,29479
246,Maharathra,Chandrapur(13),Indian National Congress (INC),DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU,718410,260406
247,Maharathra,Dhule(2),Indian National Congress (INC),BACHHAV SHOBHA DINESH,583866,3831
248,Maharathra,Dindori (20),Nationalist Congress Party – Sharadchandra Pawar - NCPSP,BHASKAR MURLIDHAR BHAGARE,577339,113199
249,Maharathra,Gadchiroli - Chimur(12),Indian National Congress (INC),DR. KIRSAN NAMDEO,617792,141696
250,Maharathra,Hatkanangale(48),Shiv Sena - SHS,DHAIRYASHEEL SAMBHAJIRAO MANE,520190,13426
251,Maharathra,Hingoli(15),Shiv Sena (Uddhav Balasaheb Thackrey) - SHSUBT,AASHTIKAR PATIL NAGESH BAPURAO,492535,108602
252,Maharathra,Jalgaon(3),Bharatiya Janata Party(BJP),SMITA UDAY WAGH,674428,251594
253,Maharathra,Jalna(18),Indian National Congress (INC),KALYAN VAIJINATHRAO KALE,607897,109958
